Deflection	Force
1,080186009	331,0448914
1,083825827	328,4312744
1,085682988	330,1736755
1,091204524	331,9161072
1,09677577	333,6585388
1,10227263	335,4009399
1,10957706	338,0145874
1,120521307	339,7569885
1,126092434	342,370636
1,131614089	344,9842529
1,138918519	341,4994202
1,142583013	347,5979004
1,149837971	345,8554688
1,151670218	347,5979004
1,15352726	349,3403015
1,160955548	353,6963501
1,164595366	351,953949
1,166427612	355,4387817
1,175564289	356,3099976
1,182843924	359,7948303
1,184651494	357,1812134
1,188340902	361,537262
1,199458361	362,4084473
1,201290727	365,0220947
1,206787586	363,2796631
1,212234974	366,7644958
1,215849996	368,5069275
1,217657566	370,2493591
1,221346855	368,5069275
1,225011468	371,120575
1,228775144	372,8629761
1,23610425	375,4766235
1,24160111	377,2190247
1,245265722	374,6054077
1,247048497	377,2190247
1,248880744	379,8326721
1,250688314	378,0902405
1,25801754	382,4462891
1,26725328	383,3175049
1,272774935	385,059906
1,280054569	386,8023376
1,281886816	391,1583862
1,285501838	389,4159546
1,291023493	391,1583862
1,298451781	393,7720337
1,307613254	396,3856506
1,313085318	398,1280823
1,314892888	396,3856506
1,316675663	398,1280823
1,32031548	400,7416992
1,324029565	402,4841309
1,327718854	399,8704834
1,329625487	402,4841309
1,335097551	405,0977478
1,336929917	407,7113647
1,33878696	405,9689636
1,340619206	404,226532
1,344234347	406,8401794
1,347874165	409,4537964
1,357010841	411,196228
1,366271377	413,809845
1,375432849	415,5522766
1,380929708	417,2946777
1,382712483	419,9083252
1,390016794	421,6507263
1,397420287	424,2643738
1,402941942	426,8779907
1,404774189	423,393158
1,406606555	425,1355896
1,408438802	427,7492065
1,412078619	425,1355896
1,413935661	427,7492065
1,423022866	430,362854
1,424855113	432,9764709
1,432283401	434,7189026
1,435948014	432,9764709
1,437780261	434,7189026
1,441420078	436,4613037
1,450532079	439,0749512
1,457861185	440,8173523
1,461525798	443,4309998
1,470761538	444,3021851
1,474450827	447,7870483
1,483538032	450,4006653
1,490842462	448,6582642
1,492674708	450,4006653
1,498245955	454,7567139
1,50376761	453,0143127
1,505599856	454,7567139
1,511096716	457,3703613
1,518351674	460,8551941
1,527513027	461,7264099
1,53310895	464,3400269
1,538581133	466,0824585
1,540438175	467,8248596
1,542270422	466,0824585
1,545910239	467,8248596
1,55682981	471,3097229
1,560543895	473,052124
1,567947268	474,7945557
1,571587205	477,4081726
1,575276494	474,7945557
1,578916311	477,4081726
1,580699086	479,1506042
1,588028312	482,635437
1,591692805	479,1506042
1,595357418	483,5066528
1,600953341	485,2490845
1,608282566	486,9914856
1,615562201	489,6051331
1,617419243	491,3475342
1,619202018	489,6051331
1,628338695	493,9611816
1,637624025	494,8323669
1,643145561	496,5747986
1,648568153	499,1884155
1,657680154	500,9308472
1,661344767	502,6732788
1,663201809	500,9308472
1,66500926	504,4156799
1,676102161	508,7717285
1,679766655	507,0293274
1,683406472	508,7717285
1,685238838	510,5141602
1,68885386	507,9005432
1,692493677	512,2565918
1,701754212	515,741394
1,705418825	513,9990234
1,707251072	516,6126099
1,716363072	520,0974731
1,720077157	521,8399048
1,721884727	519,2262573
1,725499749	522,7111206
1,727356791	524,4534912
1,731021404	521,8399048
1,736617327	523,5823364
1,738424778	527,0671387
1,742114186	528,8095703
1,743946433	530,552002
1,745778799	526,1959229
1,749393821	528,8095703
1,753058434	530,552002
1,758505821	532,2944336
1,764052153	534,0368042
1,76962328	535,7792358
1,771455646	534,0368042
1,773287892	537,5216675
1,780617118	535,7792358
1,782399893	539,2640991
1,78423214	541,0065308
1,786089182	539,2640991
1,789704323	542,7489014
1,793319345	541,0065308
1,795176387	544,491333
1,804436922	547,1049805
1,811790824	548,8474121
1,815430641	547,1049805
1,819070458	548,8474121
1,820902705	550,5898438
1,828157663	554,074646
1,830014706	552,3322144
1,833654523	554,9458618
1,839275241	556,6882935
1,842939854	558,4307251
1,846604347	556,6882935
1,848436713	561,0443115
1,850219488	559,3019409
1,853908777	561,9155273
1,855716348	560,1731567
1,857523799	561,9155273
1,861163735	560,1731567
1,866685271	564,5291748
1,870424151	566,2716064
1,874088764	564,5291748
1,875921011	567,1428223
1,877753377	568,8852539
1,879585624	567,1428223
1,886914849	570,6276245
1,894194484	572,3700562
1,896026731	574,9837036
1,905287266	575,8549194
1,907119513	577,5973511
1,916280985	579,3397217
1,923535943	582,824585
1,927150965	581,0821533
1,932697415	585,4382324
1,941957831	588,0518188
1,949287057	589,7942505
1,951069832	591,5366821
1,958374262	589,7942505
1,960206509	591,5366821
1,963846326	594,1503296
1,967510939	592,4078979
1,969343185	595,8927612
1,973106861	594,1503296
1,974939108	595,8927612
1,978603721	597,6351318
1,98410058	599,3775635
1,985908151	597,6351318
1,987765193	600,2487793
1,98959744	601,9912109
1,993212581	604,6048584
1,996852398	601,9912109
1,998684645	603,7336426
2,002349377	605,4760742
2,011609793	608,0896606
2,013442039	606,347229
2,018914223	608,9608765
2,020696878	610,7033081
2,024386406	612,4457397
2,028001308	609,8320923
2,031690598	612,4457397
2,03535533	615,0593872
2,03909421	617,6729736
2,042758703	615,930542
2,044615746	618,5441895
2,051920176	621,1578369
2,05370307	623,7714844
2,055560112	621,1578369
2,05919981	622,9002686
2,062839746	624,6426392
2,070193529	627,2562866
2,079429388	628,9987183
2,084950924	630,7411499
2,095845699	632,4835815
2,097653151	636,8395996
2,099510193	633,3547974
2,103174925	636,8395996
2,112460136	640,3244629
2,114292383	637,7108154
2,11612463	641,1956787
2,119764566	639,4532471
2,121572018	642,0668945
2,130659342	643,8092651
2,132516384	645,5516968
2,136180878	643,8092651
2,138013124	647,2941284
2,147273779	649,0365601
2,152770519	652,5213623
2,156435251	650,7789917
2,158267498	652,5213623
2,160074949	654,2637939
2,169211626	657,7486572
2,172876358	656,0062256
2,176615238	658,619873
2,178422689	660,3623047
2,182087183	658,619873
2,183944225	660,3623047
2,191248655	663,8471069
2,196671247	665,5895386
2,205857515	668,203186
2,213260889	669,9456177
2,215093374	671,6879883
2,224205256	673,4304199
2,229677439	676,0440674
2,233317137	674,3016357
2,235149384	676,0440674
2,240745306	679,5288696
2,244459391	676,9152832
2,248099327	680,4000854
2,251763821	677,786499
2,253620863	681,2713013
